0.424,0.286,0.139,0.099,0.053
0.17,0.333,0.267,0.151,0.079
0.071,0.175,0.333,0.296,0.125
0.041,0.073,0.182,0.402,0.302
0.026,0.032,0.071,0.178,0.694
