Age,Morbid
0.625397891,99.9882803
1.911381709,99.64580464
3.438704525,99.29981306
5.128077506,99.27520169
6.896739319,98.92569421
9.471021958,98.88819117
11.15923744,98.53985566
13.65249499,98.34166252
15.42289306,98.47774125
17.03124096,98.29243978
19.68596993,98.25376477
21.45578924,98.22798143
23.30258239,97.22985369
24.98906161,96.39593196
26.35549176,96.05228433
28.20344241,95.37788073
30.21170697,94.53927112
33.10198743,92.87845948
34.87007049,92.36708993
37.03691271,90.87868809
38.72281319,89.88290429
41.05170558,88.71588265
43.05765513,87.22982475
44.82342319,86.07100691
46.18753834,85.07991099
48.1934879,83.59385309
50.27872629,81.78289908
52.44151725,79.16146273
54.20149781,76.38402417
55.88566203,74.90265415
58.04382299,70.98632123
59.5630433,68.37426065
60.76221453,66.25247416
62.44406376,64.12365585
63.87994398,60.70345688
65.71863461,57.43926013
66.91780584,55.31747364
68.75360272,51.24396653
70.18890419,47.66190548
71.9471485,44.3988807
73.85934046,39.19116711
75.53829593,36.25303844
77.13101756,31.69746102
78.72605419,27.78933189
80.72621624,24.68465327
82.16151772,21.10259222
84.16167977,17.9979136
86.32331323,15.05275312
88.08503004,12.76090077
90.72760525,9.323122244
93.3696017,5.723481648
96.17712083,3.416393689
98.01870522,0.961507298
100.5079115,-0.369720348
102.7580938,-1.049983795
105.653583,-1.254036785
107.6658989,-0.95961189
